"Id","Designator","Footprint","Quantity","Designation","Supplier and ref",
1,"R16,R14,R12,R10","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",4,"47K",,,
2,"J4","SAMTEC_TSS-108-01-L-D",1,"LED Matrix",,,
3,"J2","PinHeader_1x02_P2.54mm_Vertical",1,"Select Button",,,
4,"J1","PinHeader_1x02_P2.54mm_Vertical",1,"5V Power In",,,
5,"J3","PinHeader_1x06_P2.54mm_Vertical",1,"LCD, Relay, LED Signal",,,
6,"R11,R13,R17,R15","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",4,"10K",,,
7,"J5","PinHeader_1x05_P2.00mm_Vertical",1,"DRL Horn Sense",,,
8,"U1","MODULE_ESP32-DEVKITC-32D",1,"ESP32-DEVKITC-32D",,,
9,"C7,C8,C5,C6","C_Disc_D4.7mm_W2.5mm_P5.00mm",4,"22pF",,,
10,"U2","CONV_BOB-12009",1,"BOB-12009",,,
11,"R1","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",1,"1M",,,
